init_magnet,Energy,Density,order,init_stab,length
0.8,-1.0,0.0,random,0.6,1
0.8,-1.0,0.0,off_first,0.8,0
0.8,-1.0,0.0,random,0.8,1
0.8,-0.9921875,0.00390625,off_first,1.0,0
0.8,-1.0,0.0,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-0.93359375,0.4034442724458204,random,0.0,323
0.0,-0.990234375,0.994140625,off_first,0.2,0
0.0,-0.87109375,0.251953125,random,0.2,12002
0.0,-0.990234375,0.994140625,off_first,0.4,0
0.0,-0.822265625,0.5121068709935898,random,0.4,1560
0.0,-0.95703125,0.9716796875,off_first,0.5,0
0.0,-0.755859375,0.57421875,random,0.5,12002
0.0,-0.8671875,0.8720703125,off_first,0.6,0
0.0,-0.73828125,0.4609375,random,0.6,12
0.0,-0.794921875,0.82421875,off_first,0.8,0
0.0,-0.666015625,0.56591796875,random,0.8,30
0.0,-0.580078125,0.6767578125,off_first,1.0,0
0.0,-0.552734375,0.47265625,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-1.0,1.0,off_first,0.2,0
0.2,-0.955078125,0.05712890625,random,0.2,2
0.2,-0.861328125,0.8701171875,off_first,0.4,0
0.2,-0.923828125,0.08970424107142858,random,0.4,210
0.2,-0.779296875,0.7763671875,off_first,0.5,0
0.2,-0.833984375,0.21240234375,random,0.5,252
0.2,-0.73046875,0.6240234375,off_first,0.6,0
0.2,-0.8203125,0.19287109375,random,0.6,60
0.2,-0.671875,0.51953125,off_first,0.8,0
0.2,-0.77734375,0.22314453125,random,0.8,6
0.2,-0.583984375,0.46484375,off_first,1.0,0
0.2,-0.681640625,0.2734375,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.921875,0.8671875,off_first,0.2,0
0.4,-0.986328125,0.01171875,random,0.2,1
0.4,-0.779296875,0.619140625,off_first,0.4,0
0.4,-0.9609375,0.04833984375,random,0.4,2
0.4,-0.787109375,0.36328125,off_first,0.5,0
0.4,-0.927734375,0.07421875,random,0.5,6
0.4,-0.775390625,0.2978515625,off_first,0.6,0
0.4,-0.98046875,0.01171875,random,0.6,1
0.4,-0.744140625,0.220703125,off_first,0.8,0
0.4,-0.923828125,0.0458984375,random,0.8,3
0.4,-0.71484375,0.22265625,off_first,1.0,0
0.4,-0.8359375,0.099609375,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.89453125,0.2998046875,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.876953125,0.18359375,off_first,0.4,0
0.5,-0.974609375,0.023577008928571428,random,0.4,28
0.5,-0.900390625,0.1259765625,off_first,0.5,0
0.5,-0.96875,0.01953125,random,0.5,1
0.5,-0.82421875,0.2119140625,off_first,0.6,0
0.5,-0.97265625,0.0205078125,random,0.6,3
0.5,-0.8203125,0.1396484375,off_first,0.8,0
0.5,-0.955078125,0.0263671875,random,0.8,1
0.5,-0.796875,0.146484375,off_first,1.0,0
0.5,-0.9140625,0.05859375,random,1.0,1
0.6,-1.0,1.0,off_first,0.0,0
0.6,-1.0,0.0,random,0.0,1
0.6,-0.943359375,0.125,off_first,0.2,0
0.6,-1.0,0.0,random,0.2,1
0.6,-0.923828125,0.0673828125,off_first,0.4,0
0.6,-1.0,0.0,random,0.4,1
0.6,-0.974609375,0.0185546875,off_first,0.5,0
0.6,-1.0,0.0,random,0.5,1
0.6,-0.951171875,0.0390625,off_first,0.6,0
0.6,-0.978515625,0.01416015625,random,0.6,2
0.6,-0.953125,0.0263671875,off_first,0.8,0
0.6,-0.984375,0.0078125,random,0.8,1
0.6,-0.8984375,0.0615234375,off_first,1.0,0
0.6,-0.951171875,0.029296875,random,1.0,1
0.8,-0.96875,0.0078125,off_first,0.0,0
0.8,-1.0,0.0,random,0.0,1
0.8,-0.9765625,0.005859375,off_first,0.2,0
0.8,-1.0,0.0,random,0.2,1
0.8,-0.9765625,0.005859375,off_first,0.4,0
0.8,-1.0,0.0,random,0.4,1
0.8,-1.0,0.0,off_first,0.5,0
0.8,-1.0,0.0,random,0.5,1
0.8,-1.0,0.0,off_first,0.6,0
0.8,-1.0,0.0,random,0.6,1
0.8,-0.982421875,0.0087890625,off_first,0.8,0
0.8,-0.9921875,0.00390625,random,0.8,1
0.8,-1.0,0.0,off_first,1.0,0
0.8,-1.0,0.0,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-0.93359375,0.7690972222222222,random,0.0,18
0.0,-1.0,1.0,off_first,0.2,0
0.0,-0.869140625,0.5636393229166666,random,0.2,4620
0.0,-0.962890625,0.970703125,off_first,0.4,0
0.0,-0.796875,0.6361607142857143,random,0.4,420
0.0,-0.974609375,0.98046875,off_first,0.5,0
0.0,-0.76953125,0.5886304450757576,random,0.5,396
0.0,-0.896484375,0.873046875,off_first,0.6,0
0.0,-0.7421875,0.5260184151785714,random,0.6,420
0.0,-0.74609375,0.76171875,off_first,0.8,0
0.0,-0.69921875,0.49755859375,random,0.8,30
0.0,-0.68359375,0.697265625,off_first,1.0,0
0.0,-0.611328125,0.4794921875,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-0.98828125,0.9921875,off_first,0.2,0
0.2,-0.93359375,0.09771925403225806,random,0.2,372
0.2,-0.87109375,0.861328125,off_first,0.4,0
0.2,-0.90234375,0.11206543620660883,random,0.4,4494
0.2,-0.794921875,0.7705078125,off_first,0.5,0
0.2,-0.81640625,0.2791341145833333,random,0.5,60
0.2,-0.7578125,0.671875,off_first,0.6,0
0.2,-0.81640625,0.22509765625,random,0.6,60
0.2,-0.666015625,0.5615234375,off_first,0.8,0
0.2,-0.763671875,0.23779296875,random,0.8,6
0.2,-0.587890625,0.4677734375,off_first,1.0,0
0.2,-0.71875,0.2685546875,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.908203125,0.869140625,off_first,0.2,0
0.4,-1.0,0.0,random,0.2,1
0.4,-0.822265625,0.484375,off_first,0.4,0
0.4,-0.974609375,0.013671875,random,0.4,1
0.4,-0.779296875,0.349609375,off_first,0.5,0
0.4,-0.955078125,0.04052734375,random,0.5,6
0.4,-0.78515625,0.326171875,off_first,0.6,0
0.4,-0.92578125,0.04296875,random,0.6,1
0.4,-0.744140625,0.3154296875,off_first,0.8,0
0.4,-0.931640625,0.05224609375,random,0.8,2
0.4,-0.70703125,0.2216796875,off_first,1.0,0
0.4,-0.88671875,0.0693359375,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.880859375,0.6484375,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.802734375,0.2294921875,off_first,0.4,0
0.5,-0.990234375,0.005859375,random,0.4,1
0.5,-0.85546875,0.208984375,off_first,0.5,0
0.5,-0.96875,0.02001953125,random,0.5,6
0.5,-0.876953125,0.134765625,off_first,0.6,0
0.5,-0.97265625,0.01611328125,random,0.6,2
0.5,-0.853515625,0.1103515625,off_first,0.8,0
0.5,-0.96875,0.015625,random,0.8,1
0.5,-0.849609375,0.099609375,off_first,1.0,0
0.5,-0.923828125,0.044921875,random,1.0,1
0.6,-1.0,1.0,off_first,0.0,0
0.6,-1.0,0.0,random,0.0,1
0.6,-0.9453125,0.041015625,off_first,0.2,0
0.6,-1.0,0.0,random,0.2,1
0.6,-0.916015625,0.091796875,off_first,0.4,0
0.6,-0.98828125,0.0078125,random,0.4,1
0.6,-0.92578125,0.0615234375,off_first,0.5,0
0.6,-0.98828125,0.0078125,random,0.5,1
0.6,-0.9765625,0.0146484375,off_first,0.6,0
0.6,-1.0,0.0,random,0.6,1
0.6,-0.912109375,0.0537109375,off_first,0.8,0
0.6,-0.984375,0.0078125,random,0.8,1
0.6,-0.880859375,0.076171875,off_first,1.0,0
0.6,-0.95703125,0.025390625,random,1.0,1
0.8,-0.953125,0.01171875,off_first,0.0,0
0.8,-1.0,0.0,random,0.0,1
0.8,-0.984375,0.00390625,off_first,0.2,0
0.8,-1.0,0.0,random,0.2,1
0.8,-0.9921875,0.001953125,off_first,0.4,0
0.8,-1.0,0.0,random,0.4,1
0.8,-0.9921875,0.001953125,off_first,0.5,0
0.8,-1.0,0.0,random,0.5,1
0.8,-1.0,0.0,off_first,0.6,0
0.8,-1.0,0.0,random,0.6,1
0.8,-0.9921875,0.00390625,off_first,0.8,0
0.8,-1.0,0.0,random,0.8,1
0.8,-0.984375,0.0078125,off_first,1.0,0
0.8,-1.0,0.0,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-1.0,0.0,random,0.0,1
0.0,-1.0,1.0,off_first,0.2,0
0.0,-0.880859375,0.4287109375,random,0.2,12002
0.0,-0.95703125,0.97265625,off_first,0.4,0
0.0,-0.76953125,0.4922501001602564,random,0.4,780
0.0,-0.91015625,0.935546875,off_first,0.5,0
0.0,-0.7734375,0.4384765625,random,0.5,12002
0.0,-0.875,0.8896484375,off_first,0.6,0
0.0,-0.734375,0.564453125,random,0.6,12
0.0,-0.8046875,0.8173828125,off_first,0.8,0
0.0,-0.65625,0.54931640625,random,0.8,6
0.0,-0.6328125,0.6533203125,off_first,1.0,0
0.0,-0.634765625,0.4375,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-0.978515625,0.986328125,off_first,0.2,0
0.2,-0.93359375,0.1386176215277778,random,0.2,3780
0.2,-0.90625,0.8984375,off_first,0.4,0
0.2,-0.890625,0.15661071227477474,random,0.4,444
0.2,-0.822265625,0.759765625,off_first,0.5,0
0.2,-0.77734375,0.2774488044507576,random,0.5,660
0.2,-0.75390625,0.724609375,off_first,0.6,0
0.2,-0.822265625,0.2109375,random,0.6,12
0.2,-0.64453125,0.544921875,off_first,0.8,0
0.2,-0.75390625,0.21923828125,random,0.8,6
